MEDIA_CN;MEDIA_CH;MEDIA_LP;MEDIA_MT;MEDIA_RED;TIPO;INSE
520.25;598.97;553.83;517.57;630.65;1;2
513.29;583.6;541.86;478.29;599.01;1;2
471.68;578.51;537.47;460.24;588.33;1;2
447.69;529.69;461.66;421.44;475.24;2;1
469.47;559.01;514.82;451.75;564.74;2;1
469.58;552.46;497.67;445.6;544.64;1;1
489.03;598.21;542.65;506.83;613.33;1;1
465.29;557.03;520.95;453.86;602.96;1;1
447.91;529.44;481.9;424.05;516.79;2;1
456.38;539.71;494.99;423.63;531.84;2;1
454.7;523.65;473.18;419.67;500.69;2;1
441.73;522.64;477.86;417.36;504.38;2;1
444.66;521.32;467.27;418.76;496.98;2;1
447.32;530.82;479.41;419.35;517.84;2;1
444.76;521.52;475.81;423.6;508.71;2;1
435.27;507.47;457.68;406.59;480.42;2;1
456.29;538.82;490.52;424.74;523.68;2;1
440.48;512.96;467.97;402.68;531.32;2;1
449.23;522.46;485.2;424.68;519.45;2;1
455.02;531.57;488.59;429.1;525.15;2;1
437.04;517.11;470.48;414.03;543.78;2;1
442.6;521.41;472.71;410.29;552.59;2;1
447.96;525.3;472.52;423.81;530.40;2;1
441.63;516.22;472.92;419.63;507.73;2;1
440.24;521.41;458.88;408.76;487.81;2;1
448.2;522.37;474.1;421.8;524.90;2;1
442.46;516.03;470.97;417.29;510.07;2;1
438.18;513.89;468.95;411.9;509.48;2;1
444.1;513.39;465.52;410.61;509.20;2;1
443.17;520.39;473.37;416.05;489.76;2;1
435.82;511.98;465.5;405.32;520.59;2;1
447.38;510.19;464.34;416.93;505.25;2;1
438.04;519.6;473.9;419.62;498.76;2;1
437.66;513.98;474.37;411.38;505.57;2;1
452.25;528.82;482.92;428.62;530.17;2;1
530.88;620.27;564.34;526.18;610.00;1;2
543.82;606.19;557.09;593.88;601.02;1;1
454.89;534.56;484.89;430.25;530.08;2;1
432.98;500.98;452.27;404.81;487.38;2;1
438.21;513.52;460.96;415.08;497.62;2;1
436.33;511.65;471.71;413.66;520.61;2;1
443.63;517.47;471.52;423.3;514.51;2;1
438.06;534.38;488.33;412.96;553.33;2;1
497.25;567.9;524.22;490.68;550.00;1;2
466.55;548.93;513.46;443.2;557.30;2;1
456.06;543.9;490.75;436.55;542.82;2;1
538.66;615.8;563.79;515.22;630.32;1;2
473.18;558.7;508.7;444.46;565.13;1;1
438.8;519.29;469.41;408.28;511.56;2;1
447.79;539.81;478.58;420.68;503.40;2;1
449.58;529.91;483.2;420.48;527.27;2;1
455.9;538.35;497.13;426.92;549.52;2;1
437.82;509.89;460.4;418.68;516.48;2;1
461.21;548.99;497.41;442.41;548.33;2;1
453.67;531.65;485.39;431.2;521.84;2;1
437.19;516.92;467.19;422.48;487.84;2;1
425.21;508.8;463.38;403.69;447.27;2;1
443.02;510.76;466.68;411.55;515.19;2;1
446.13;525.21;480.57;418.86;517.24;2;1
429.85;536.1;470.87;437.61;540.63;2;1
431.47;514.94;458.56;413.74;508.31;2;1
483.92;567.71;509.99;459.73;616.25;1;1
430.3;524.72;462.35;416.59;549.81;2;1
427.39;505.59;436.31;396.37;482.43;2;1
433.1;516.99;453.58;401.47;506.84;2;1
417.46;510.5;447.53;414.37;491.83;2;1
447.55;545.26;498.9;392.74;560.00;2;1
489.67;577.27;523.15;467.93;597.65;1;1
453.71;546.37;484.37;434.11;539.56;2;1
443.95;542.07;473.69;418.96;539.17;2;1
416.79;517.95;450.48;412.81;526.09;2;1
432.54;515.88;453.73;397.55;498.96;2;1
462.78;548.27;498.58;437.38;583.04;2;1
432.89;512.82;449.29;404.3;490.61;2;1
505.94;571.87;524.92;472.84;604.80;1;1
438.02;502.58;451.8;407.99;469.47;2;1
485.03;565.2;502.05;478.57;537.21;1;1
429.08;505.76;445.59;407.41;499.49;2;1
440.73;537.84;482.13;423.58;535.41;1;1
434.64;522.82;477.79;453.67;537.42;2;1
426.15;523.16;464.66;427.25;478.43;2;1
442.83;528.16;463.95;430.76;531.28;2;1
448.17;526.85;464.21;409.82;485.69;2;1
426.4;515.96;461.8;415.89;551.57;2;1
458.63;542.53;493.34;432.14;595.12;2;1
424.39;504.87;432.97;410.29;468.30;2;1
494.1;562.61;505.08;419.11;552.00;1;1
454.19;531.85;463.91;432.63;504.68;2;1
494.63;564.84;510.72;494.81;607.22;1;2
581.37;624.29;579.78;609.71;670.34;1;2
527.49;586.16;526.92;527.42;614.00;1;2
540.01;601.21;560.88;562.92;646.67;1;2
508.89;577.79;524.5;468.57;565.42;1;1
549.21;605.76;541.08;545.64;624.48;1;2
444.72;520.61;465;423.82;517.66;2;1
526.78;588;539.53;507.42;628.12;1;2
468.9;564.46;490.41;451.25;520.00;1;1
548.46;619.54;562.71;528.98;617.65;1;2
522.26;599.46;556.05;501.22;608.31;1;1
447.29;541.58;503.31;424.93;533.33;2;1
447.86;524.1;492.32;404.16;474.55;2;1
451.9;528.25;479.56;424.83;508.81;2;1
447.96;526.92;481.89;417.96;507.95;2;1
441.29;513.49;456.89;410.57;480.49;2;1
450.71;521.91;476.04;422.38;491.40;2;1
444.66;520.65;456.54;412.01;480.25;2;1
447.09;529.14;486.6;424.42;506.92;2;1
462.95;540.34;491.34;442.61;534.17;2;1
449.53;527.69;483.89;424.88;511.13;2;1
446.87;531.45;471.27;414.41;504.78;2;1
477.25;529.7;493.61;442.8;509.03;2;1
462.04;528.79;483.54;431.31;492.42;2;1
466.42;545.63;493.8;444.65;536.75;2;1
457.92;516.37;472;428.94;493.33;2;1
449.94;545.4;498.03;423.79;540.00;2;1
458.72;521;470.87;423.96;491.14;2;1
419.43;492.45;439.22;393.24;455.00;2;1
438.72;500.43;448.59;380.57;498.00;2;1
448.52;535.61;484.46;427.12;506.88;2;1
438.91;522.53;458.01;414.91;510.91;2;1
447.87;534.43;459.36;424.26;514.67;2;1
444.27;529.07;458.74;408.16;503.67;2;1
544.77;614.12;547.19;513.85;735.00;1;1
487.1;567.67;523.53;473.97;623.81;1;1
500.14;560.82;504.53;460.47;623.23;1;1
454.23;542.13;483.95;440.59;561.61;2;1
440.37;508.65;447.88;413.77;477.30;2;1
467.05;559.2;502.04;446.55;609.83;2;1
483.4;580.5;512.86;470.88;612.19;1;1
430.3;500.83;441.03;417.83;441.58;2;1
495.39;571.1;514.64;488.9;577.92;1;1
478.7;565.18;512.44;471.08;590.86;2;1
520.96;586.42;524.25;512.75;658.18;1;1
488.71;565.03;506.51;480.51;595.47;1;1
542.14;606.84;551.89;511.2;679.09;1;1
449.44;527.39;471.16;417.4;498.59;2;1
462.22;533.38;479.28;430.75;510.21;2;1
500.99;570.64;544.8;504.16;624.00;1;1
506.01;601.02;545.4;474.5;660.00;1;1
561.83;641.11;583.52;591.79;735.68;1;2
507.96;603.81;547;511.29;642.07;1;1
572.92;627.75;565.9;610.86;675.67;1;2
491.63;591.48;524.81;485.48;618.67;1;1
496.64;551.34;516.88;459.36;580.62;1;1
573.34;640.69;576.45;596.64;750.83;1;2
524.97;589.99;531.53;501.08;645.80;1;1
543.6;609.12;554;552.51;682.18;1;1
476.29;576.94;534.45;502.95;585.17;1;1
476.1;562.92;507.68;464.19;580.00;1;1
522.06;566.81;529.75;498.13;625.81;1;1
497.83;583.71;536.75;453.51;616.67;1;1
502.46;564.71;505.84;477.55;598.95;1;1
474.33;560.6;511.06;453.9;576.34;2;1
456.62;533.94;481.22;423.07;511.11;2;1
461.19;546.66;494.8;441.27;538.18;2;1
455.14;530.14;484.44;436.82;502.56;2;1
462.25;536.98;480.93;442.32;501.11;2;1
459.75;526.02;484.55;434.44;498.64;2;1
473.25;573.6;516.72;470.19;566.90;2;1
457.34;536.57;486.68;431.31;498.63;2;1
473.09;551.92;493.94;440.92;534.39;2;1
455.35;543.11;488.5;438.65;528.50;2;1
489.54;566.77;511.35;472.56;607.94;1;1
